SOURCE	TARGET	ENZYMES
C00788	C05589	2.1.1.6;1.4.3.4
C00788	C03758	;2.1.1.6;2.8.2.1;1.4.3.6;1.4.3.4
C00788	C00780	
C00788	CE5536	
C00788	C05634	2.1.1.6;1.4.3.4
C00788	C00601	
C05647	C00780	
C05647	C05642	
C05647	C00643	
C05647	C05648	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05642	C00780	
C05642	C00643	
C05642	C05648	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
CE5541	CE5536	
C03758	C05589	2.1.1.6;1.4.3.4
C03758	C00780	
C03758	C05634	2.1.1.6;1.4.3.4
C03758	C00601	
C03758	CE2172	
C05589	C00780	
C05589	C00601	
C05589	C05634	2.1.1.6;1.4.3.4
C00780	C05648	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C00643	
C00780	C05634	1.4.3.4
C00780	C00601	
CE1918	C05634	1.2.1.3;1.4.3.4;1.2.3.1;2.1.1.6;1.1.1.1
C05648	C00643	
C05635	C05634	
C05634	C00601	
