SOURCE	TARGET	ENZYMES
C00025	C00328	
C00025	C00079	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C00624	2.3.1.1
C00025	C04640	
C00025	C01005	2.6.1.52
C00025	C05928	6.3.2.17;6.3.2.12
C00025	C05548	
C00025	C00957	;2.6.1.1;2.6.1.3
C00025	C01045	2.1.2.5
C00025	C00049	
C00025	CE2947	2.6.1.-
C04823	C00049	
C00079	C00049	
C00302	C00957	
C01239	C00049	3.5.1.26
C01005	C02532	3.1.3.3
C00049	C01042	6.3.4.4;6.3.4.5;2.6.1.21;3.5.1.26;6.3.5.4;1.4.3.2;4.1.1.11;3.5.1.15;3.5.1.38;4.1.1.15;2.6.1.1;1.4.3.16;2.3.1.17;6.3.2.6;3.5.1.8;6.1.1.12;3.5.1.1;2.1.3.2;1.4.1.21
