SOURCE	TARGET	ENZYMES
C05841	C00294	
C05841	C00242	
C05841	C00330	
C05841	C00147	
C05841	C01185	;3.1.3.5;2.4.2.11
C05841	C00055	
C05841	C00559	
C05841	C00214	
C05841	C00212	
C00294	C00242	
C00294	C00330	2.4.2.1;3.1.3.5
C00294	C00147	
C00294	C01185	3.1.3.5
C00294	C00055	
C00294	C00559	2.4.2.1;3.1.3.5;3.5.4.4
C00294	C00214	
C00294	C00212	
C00242	C00330	2.4.2.1;3.1.3.5;2.4.2.4
C00242	C00119	2.4.2.8;2.4.2.7;2.4.2.22
C00242	C00147	
C00242	C00559	2.4.2.1;3.1.3.5;2.4.2.4
C00242	C00214	
C00242	C00212	
C00570	C00055	;2.7.8.1;2.7.8.2
C00128	C00055	;2.4.99.10;2.4.99.6;2.4.99.7;2.4.99.4;2.4.99.3;2.4.99.1;2.4.99.8;2.4.99.9
C00128	C04776	2.4.99.4
C00330	C01185	3.1.3.5
C00330	C00147	
C00330	C00055	
C00330	C00559	2.4.2.1;3.1.3.5;2.4.2.4
C00330	C00214	
C00330	C00212	
C04776	C00055	
C00119	C01185	2.4.2.19;2.4.2.11
C00119	C00147	2.4.2.8;2.4.2.7
C00119	C16634	2.4.2.10
C00147	C00170	
C00147	C00559	2.4.2.1;2.4.2.4
C00147	C00214	2.4.2.4
C00147	C00212	2.4.2.1
C01185	C00055	
C01185	C00559	
C01185	C00214	
C01185	C00212	
C00055	C00559	3.1.3.5
C00055	C16634	2.7.1.48
C00055	C00214	3.1.3.5
C00055	C00212	3.1.3.5
C00559	C00214	
C00559	C00212	
C00214	C00212	
